종목명,1년 전 가격 (2025-01-11),현재 가격 (2026-01-11),수익률 (%)
WDC,$47.31 ,$200.46 ,323.74%
STX,$87.21 ,$304.01 ,248.61%
MU,$99.01 ,$345.09 ,248.53%
WBD,$9.70 ,$28.89 ,197.78%
LRCX,$73.98 ,$218.36 ,195.17%
HOOD,$40.08 ,$115.27 ,187.60%
NEM,$38.45 ,$108.99 ,183.44%
PLTR,$67.26 ,$177.49 ,163.89%
CVNA,$193.06 ,$463.09 ,139.87%
INTC,$19.15 ,$45.55 ,137.86%
FIX,$438.46 ,"$1,010.41 ",130.45%
HII,$185.69 ,$386.99 ,108.41%
KLAC,$677.25 ,"$1,400.00 ",106.72%
DG,$69.80 ,$142.74 ,104.50%
APP,$318.48 ,$647.72 ,103.38%
TPR,$66.07 ,$134.35 ,103.34%
APH,$69.66 ,$140.16 ,101.20%
HWM,$112.34 ,$218.27 ,94.29%
ALB,$84.78 ,$161.29 ,90.24%
GE,$170.71 ,$321.59 ,88.38%
GLW,$46.24 ,$85.23 ,84.31%
IVZ,$15.67 ,$28.57 ,82.34%
DLTR,$72.90 ,$132.38 ,81.59%
CAT,$345.78 ,$617.62 ,78.62%
AMAT,$169.93 ,$301.18 ,77.24%
AMD,$116.04 ,$203.17 ,75.09%
C,$69.47 ,$121.32 ,74.62%
CVS,$46.06 ,$80.30 ,74.32%
GOOGL,$191.28 ,$328.57 ,71.77%
CHRW,$99.61 ,$170.77 ,71.44%
GS,$548.89 ,$938.98 ,71.07%
GOOG,$192.41 ,$329.14 ,71.06%
IDXX,$418.05 ,$713.35 ,70.64%
GEV,$366.23 ,$622.50 ,69.97%
GM,$49.34 ,$82.87 ,67.95%
CAH,$120.06 ,$201.11 ,67.51%
TEL,$138.77 ,$231.60 ,66.90%
RTX,$112.99 ,$188.50 ,66.83%
EXPE,$178.74 ,$296.33 ,65.78%
LHX,$204.37 ,$335.77 ,64.30%
MPWR,$586.38 ,$958.97 ,63.54%
TER,$133.59 ,$217.26 ,62.63%
BK,$73.78 ,$119.04 ,61.34%
ULTA,$418.23 ,$666.18 ,59.29%
CMI,$347.90 ,$552.09 ,58.69%
HAS,$54.84 ,$86.72 ,58.13%
F,$8.99 ,$14.20 ,57.91%
RL,$234.37 ,$369.81 ,57.79%
EL,$72.17 ,$113.73 ,57.59%
HCA,$300.57 ,$472.07 ,57.06%
MNST,$49.74 ,$77.34 ,55.49%
AVGO,$222.28 ,$344.97 ,55.20%
MS,$120.08 ,$186.32 ,55.17%
FOXA,$47.74 ,$73.68 ,54.34%
IBKR,$46.06 ,$70.47 ,53.00%
ROK,$269.03 ,$410.53 ,52.60%
NRG,$98.08 ,$149.27 ,52.19%
WELL,$122.63 ,$186.08 ,51.75%
INCY,$70.54 ,$106.87 ,51.50%
NTRS,$96.83 ,$145.74 ,50.51%
VLO,$123.19 ,$185.28 ,50.40%
APTV,$59.35 ,$88.67 ,49.40%
JNJ,$137.86 ,$204.39 ,48.26%
STLD,$114.67 ,$169.27 ,47.62%
PH,$623.97 ,$920.99 ,47.60%
EXPD,$107.77 ,$158.89 ,47.43%
FCX,$38.39 ,$56.53 ,47.25%
JBL,$153.62 ,$226.15 ,47.22%
WYNN,$80.36 ,$117.83 ,46.63%
FOX,$45.39 ,$66.42 ,46.32%
DD,$30.03 ,$43.81 ,45.90%
EA,$140.18 ,$204.10 ,45.60%
STT,$91.18 ,$132.57 ,45.39%
CRH,$90.47 ,$131.38 ,45.21%
CFG,$41.69 ,$60.53 ,45.20%
TKO,$138.44 ,$199.63 ,44.20%
ADI,$208.91 ,$300.93 ,44.04%
COF,$173.04 ,$249.20 ,44.02%
PM,$113.13 ,$162.61 ,43.73%
COR,$234.38 ,$335.69 ,43.22%
JCI,$77.49 ,$110.85 ,43.04%
BEN,$18.06 ,$25.66 ,42.12%
IBM,$214.17 ,$304.22 ,42.05%
URI,$664.97 ,$938.79 ,41.18%
MCK,$579.29 ,$816.06 ,40.87%
NUE,$116.25 ,$163.77 ,40.87%
MCHP,$53.52 ,$75.22 ,40.54%
TTWO,$178.61 ,$250.71 ,40.37%
WFC,$68.48 ,$95.95 ,40.12%
JPM,$234.96 ,$329.19 ,40.10%
EBAY,$64.91 ,$90.91 ,40.05%
SCHW,$71.89 ,$100.17 ,39.34%
GD,$254.17 ,$353.89 ,39.23%
RCL,$224.04 ,$311.50 ,39.04%
SYF,$62.66 ,$86.89 ,38.66%
EME,$466.12 ,$646.27 ,38.65%
GILD,$87.42 ,$121.10 ,38.53%
CBOE,$188.75 ,$260.95 ,38.26%
LUV,$32.41 ,$44.52 ,37.36%
NOC,$450.85 ,$618.82 ,37.26%
BA,$172.00 ,$234.53 ,36.35%
NVDA,$135.87 ,$184.86 ,36.05%
PWR,$313.12 ,$422.57 ,34.96%
CRWD,$348.84 ,$470.61 ,34.91%
VTR,$55.83 ,$74.90 ,34.16%
LDOS,$147.93 ,$198.34 ,34.08%
LLY,$794.04 ,"$1,063.56 ",33.94%
CBRE,$123.67 ,$165.46 ,33.79%
ROL,$45.54 ,$60.68 ,33.26%
TJX,$118.60 ,$157.81 ,33.06%
KEY,$15.95 ,$21.19 ,32.88%
NDSN,$197.25 ,$261.22 ,32.43%
CCL,$24.27 ,$32.13 ,32.39%
MLM,$505.75 ,$666.67 ,31.82%
NDAQ,$74.95 ,$98.24 ,31.07%
RF,$21.77 ,$28.52 ,30.99%
ALLE,$124.47 ,$162.69 ,30.70%
HIG,$104.55 ,$136.26 ,30.33%
ABBV,$169.19 ,$220.08 ,30.08%
ORCL,$152.95 ,$198.52 ,29.79%
PSX,$109.76 ,$142.16 ,29.52%
UBER,$65.97 ,$85.44 ,29.51%
AXP,$290.15 ,$375.61 ,29.45%
PLD,$100.01 ,$129.40 ,29.39%
AEP,$90.39 ,$116.91 ,29.35%
L,$80.91 ,$104.58 ,29.25%
CSCO,$57.32 ,$73.88 ,28.88%
YUM,$120.89 ,$155.52 ,28.65%
KEYS,$161.31 ,$207.30 ,28.51%
SOLV,$67.07 ,$86.14 ,28.43%
AMGN,$253.99 ,$326.10 ,28.39%
MMM,$128.76 ,$165.24 ,28.33%
ES,$53.09 ,$67.79 ,27.68%
ROST,$150.06 ,$191.44 ,27.58%
LVS,$46.22 ,$58.95 ,27.55%
BG,$78.46 ,$99.99 ,27.43%
GL,$111.50 ,$141.95 ,27.31%
DASH,$170.12 ,$215.56 ,26.71%
BAC,$44.09 ,$55.85 ,26.67%
MPC,$139.15 ,$176.17 ,26.60%
AES,$11.33 ,$14.32 ,26.40%
EVRG,$57.63 ,$72.82 ,26.36%
ETR,$74.11 ,$93.52 ,26.20%
FSLR,$189.24 ,$238.66 ,26.11%
STE,$203.70 ,$256.82 ,26.08%
BIIB,$148.82 ,$187.62 ,26.07%
ADM,$49.15 ,$61.94 ,26.01%
NSC,$229.07 ,$287.21 ,25.38%
HLT,$240.14 ,$300.36 ,25.08%
VMC,$249.84 ,$311.62 ,24.73%
MDT,$78.20 ,$97.53 ,24.72%
HAL,$26.19 ,$32.63 ,24.61%
ATO,$134.02 ,$166.78 ,24.44%
CNP,$30.45 ,$37.89 ,24.44%
EMR,$115.96 ,$144.20 ,24.36%
WMT,$92.12 ,$114.53 ,24.33%
FITB,$39.67 ,$49.27 ,24.19%
TXT,$75.57 ,$93.83 ,24.16%
TFC,$40.78 ,$50.62 ,24.12%
XYL,$112.68 ,$139.69 ,23.97%
WRB,$55.24 ,$68.44 ,23.89%
PHM,$106.74 ,$132.20 ,23.85%
HSY,$153.14 ,$189.07 ,23.47%
TRV,$228.69 ,$281.96 ,23.29%
CINF,$132.54 ,$162.99 ,22.97%
PFG,$73.52 ,$90.29 ,22.81%
MTD,"$1,210.99 ","$1,485.12 ",22.64%
MAR,$268.12 ,$328.18 ,22.40%
NEE,$65.34 ,$79.89 ,22.26%
USB,$45.38 ,$55.21 ,21.67%
AIZ,$195.88 ,$238.00 ,21.50%
CTVA,$56.50 ,$68.65 ,21.50%
XOM,$102.76 ,$124.61 ,21.26%
VRSN,$205.29 ,$248.94 ,21.26%
MO,$47.46 ,$57.53 ,21.23%
DE,$403.04 ,$488.08 ,21.10%
XEL,$61.38 ,$74.26 ,20.99%
SLB,$37.43 ,$45.20 ,20.74%
CB,$254.36 ,$306.81 ,20.62%
AME,$174.97 ,$210.64 ,20.38%
EXC,$35.98 ,$43.30 ,20.34%
TDY,$456.40 ,$549.02 ,20.29%
FE,$37.18 ,$44.65 ,20.10%
JBHT,$172.28 ,$206.85 ,20.07%
NI,$35.04 ,$42.03 ,19.94%
FAST,$35.06 ,$41.98 ,19.73%
ALL,$177.47 ,$212.21 ,19.58%
ECL,$227.36 ,$271.73 ,19.51%
LMT,$454.56 ,$542.92 ,19.44%
WAB,$187.91 ,$224.42 ,19.43%
PNC,$182.30 ,$217.55 ,19.33%
IQV,$203.27 ,$242.41 ,19.26%
O,$48.85 ,$58.17 ,19.08%
KO,$59.31 ,$70.51 ,18.88%
NXPI,$202.96 ,$241.15 ,18.82%
CRL,$186.12 ,$220.91 ,18.69%
LNT,$54.86 ,$65.02 ,18.51%
MCO,$449.40 ,$531.61 ,18.29%
HBAN,$15.42 ,$18.24 ,18.27%
FDX,$264.45 ,$312.36 ,18.12%
BKR,$42.34 ,$49.97 ,18.01%
TDG,"$1,180.68 ","$1,392.09 ",17.91%
ICE,$141.20 ,$165.98 ,17.55%
ORLY,$79.84 ,$93.80 ,17.48%
DGX,$148.96 ,$174.44 ,17.10%
AEE,$85.53 ,$99.91 ,16.82%
BKNG,"$4,704.85 ","$5,492.11 ",16.73%
CME,$224.91 ,$262.45 ,16.69%
MTB,$181.43 ,$211.68 ,16.68%
DHI,$134.90 ,$157.28 ,16.59%
SRE,$76.24 ,$88.82 ,16.50%
ED,$85.20 ,$99.21 ,16.44%
EW,$73.42 ,$85.13 ,15.95%
BLK,$936.40 ,"$1,085.10 ",15.88%
WEC,$90.33 ,$104.65 ,15.86%
DRI,$174.71 ,$202.36 ,15.82%
QCOM,$153.55 ,$177.78 ,15.78%
MRK,$95.66 ,$110.53 ,15.55%
MSFT,$415.87 ,$479.28 ,15.25%
ON,$53.94 ,$62.16 ,15.24%
CTSH,$74.12 ,$85.26 ,15.02%
REGN,$693.11 ,$796.55 ,14.92%
VTRS,$11.11 ,$12.76 ,14.88%
TRMB,$70.23 ,$80.61 ,14.78%
MA,$501.82 ,$575.54 ,14.69%
TMO,$540.39 ,$618.86 ,14.52%
V,$305.54 ,$349.77 ,14.47%
HST,$16.12 ,$18.44 ,14.43%
PCAR,$103.87 ,$118.80 ,14.38%
DUK,$102.17 ,$116.80 ,14.32%
ABT,$110.20 ,$125.92 ,14.27%
GPC,$112.32 ,$128.34 ,14.27%
T,$21.03 ,$23.99 ,14.10%
D,$50.97 ,$57.98 ,13.75%
LYV,$128.51 ,$146.07 ,13.66%
UHS,$182.17 ,$207.03 ,13.64%
SPG,$162.69 ,$184.69 ,13.52%
HUBB,$414.71 ,$470.53 ,13.46%
PNW,$78.58 ,$89.07 ,13.35%
VRTX,$409.56 ,$463.86 ,13.26%
SPGI,$479.18 ,$541.94 ,13.10%
AMZN,$218.94 ,$247.38 ,12.99%
CEG,$303.52 ,$342.52 ,12.85%
DTE,$115.14 ,$129.89 ,12.81%
TSLA,$394.74 ,$445.01 ,12.73%
CSX,$31.28 ,$35.20 ,12.53%
PPL,$30.74 ,$34.59 ,12.53%
WMB,$53.67 ,$60.32 ,12.38%
VZ,$36.01 ,$40.46 ,12.36%
APA,$22.52 ,$25.20 ,11.92%
SNA,$323.77 ,$362.17 ,11.86%
JKHY,$169.73 ,$189.16 ,11.45%
HSIC,$69.67 ,$77.64 ,11.44%
MCD,$275.85 ,$307.32 ,11.41%
DOV,$181.60 ,$201.89 ,11.17%
AXON,$570.00 ,$631.69 ,10.82%
CMS,$63.16 ,$69.99 ,10.81%
CVX,$146.33 ,$162.11 ,10.78%
TSN,$52.43 ,$58.03 ,10.68%
AFL,$98.82 ,$109.24 ,10.55%
SO,$78.71 ,$87.01 ,10.55%
RJF,$152.20 ,$167.71 ,10.19%
AAPL,$235.80 ,$259.37 ,10.00%
LOW,$243.02 ,$267.21 ,9.95%
LH,$229.44 ,$251.81 ,9.75%
UAL,$107.11 ,$117.32 ,9.53%
CDNS,$299.00 ,$327.31 ,9.47%
DAL,$66.15 ,$72.31 ,9.30%
AIG,$69.02 ,$75.43 ,9.29%
PANW,$173.42 ,$189.02 ,9.00%
RMD,$231.76 ,$252.47 ,8.94%
J,$128.49 ,$139.95 ,8.92%
A,$136.39 ,$148.52 ,8.89%
LIN,$408.68 ,$444.08 ,8.66%
BALL,$51.20 ,$55.62 ,8.63%
PRU,$108.90 ,$118.08 ,8.43%
AWK,$118.19 ,$127.98 ,8.28%
WM,$204.21 ,$220.91 ,8.18%
MGM,$31.87 ,$34.45 ,8.10%
SHW,$327.23 ,$353.28 ,7.96%
MOS,$24.08 ,$25.98 ,7.89%
DIS,$107.46 ,$115.88 ,7.83%
SWK,$76.50 ,$82.35 ,7.65%
ANET,$114.34 ,$122.89 ,7.48%
ABNB,$129.63 ,$139.27 ,7.44%
PNR,$95.99 ,$103.06 ,7.37%
ISRG,$547.47 ,$586.24 ,7.08%
MTCH,$30.10 ,$32.22 ,7.05%
DELL,$112.74 ,$120.62 ,6.99%
NFLX,$83.77 ,$89.46 ,6.79%
ITW,$238.91 ,$255.12 ,6.78%
WTW,$309.44 ,$330.26 ,6.73%
SNPS,$492.54 ,$525.18 ,6.63%
AOS,$66.22 ,$70.52 ,6.49%
META,$613.95 ,$653.06 ,6.37%
PODD,$271.83 ,$289.04 ,6.33%
FFIV,$254.32 ,$269.31 ,5.89%
ACGL,$90.17 ,$95.18 ,5.56%
EQT,$48.42 ,$51.09 ,5.51%
REG,$66.11 ,$69.72 ,5.46%
AZO,"$3,251.32 ","$3,421.17 ",5.22%
BMY,$53.13 ,$55.86 ,5.14%
BXP,$64.92 ,$67.98 ,4.72%
FRT,$97.13 ,$101.64 ,4.65%
INTU,$619.14 ,$646.90 ,4.48%
HOLX,$71.70 ,$74.87 ,4.42%
HUM,$265.33 ,$276.85 ,4.34%
WAT,$380.35 ,$396.75 ,4.31%
CCI,$80.31 ,$83.67 ,4.19%
VICI,$26.66 ,$27.76 ,4.11%
TROW,$103.09 ,$107.31 ,4.10%
AVY,$181.02 ,$188.40 ,4.08%
RSG,$204.12 ,$212.22 ,3.97%
UNP,$219.99 ,$228.44 ,3.84%
SYY,$71.55 ,$74.28 ,3.81%
ARES,$169.52 ,$175.91 ,3.77%
SJM,$96.95 ,$100.58 ,3.74%
CPT,$105.16 ,$108.80 ,3.46%
TXN,$184.15 ,$190.31 ,3.34%
GEHC,$84.57 ,$87.28 ,3.20%
GRMN,$205.84 ,$212.25 ,3.11%
VLTO,$99.65 ,$102.73 ,3.10%
HPE,$21.51 ,$22.17 ,3.08%
HON,$201.27 ,$207.38 ,3.04%
BSX,$94.88 ,$97.64 ,2.91%
CTAS,$187.76 ,$193.12 ,2.86%
KR,$57.96 ,$59.51 ,2.68%
EXE,$99.04 ,$101.63 ,2.61%
WSM,$194.05 ,$199.04 ,2.57%
BR,$218.03 ,$223.36 ,2.44%
DPZ,$396.04 ,$405.09 ,2.28%
PFE,$24.91 ,$25.48 ,2.28%
MSCI,$568.47 ,$581.16 ,2.23%
TT,$373.55 ,$381.70 ,2.18%
DVN,$35.02 ,$35.76 ,2.12%
DHR,$233.60 ,$238.37 ,2.04%
CI,$273.39 ,$278.95 ,2.03%
GEN,$26.43 ,$26.96 ,2.01%
PEP,$137.18 ,$139.91 ,1.99%
MET,$78.00 ,$79.41 ,1.81%
NWS,$29.70 ,$30.20 ,1.69%
SYK,$362.33 ,$367.54 ,1.44%
OTIS,$89.17 ,$90.27 ,1.23%
AON,$346.65 ,$350.80 ,1.20%
MDLZ,$54.53 ,$55.09 ,1.03%
AMT,$167.62 ,$168.51 ,0.53%
KMI,$26.98 ,$27.12 ,0.53%
PSA,$277.21 ,$278.15 ,0.34%
VST,$165.83 ,$166.37 ,0.33%
OMC,$79.09 ,$79.08 ,-0.02%
EIX,$61.11 ,$60.99 ,-0.19%
AMP,$508.95 ,$507.76 ,-0.23%
ELV,$373.85 ,$372.83 ,-0.27%
COST,$932.09 ,$924.88 ,-0.77%
EXR,$140.30 ,$139.20 ,-0.78%
AKAM,$88.93 ,$88.12 ,-0.91%
COP,$98.48 ,$97.51 ,-0.98%
SBUX,$89.84 ,$88.88 ,-1.07%
ODFL,$175.17 ,$173.13 ,-1.16%
NWSA,$26.79 ,$26.47 ,-1.18%
KIM,$20.66 ,$20.41 ,-1.22%
DAY,$70.29 ,$69.42 ,-1.24%
GWW,"$1,043.19 ","$1,029.82 ",-1.28%
PKG,$222.44 ,$219.35 ,-1.39%
BX,$159.92 ,$157.62 ,-1.44%
HD,$380.30 ,$374.64 ,-1.49%
IR,$86.93 ,$85.51 ,-1.64%
MAS,$70.80 ,$69.32 ,-2.09%
FTV,$56.42 ,$55.00 ,-2.51%
PPG,$110.29 ,$107.41 ,-2.61%
WY,$26.42 ,$25.73 ,-2.61%
MKC,$69.56 ,$67.72 ,-2.65%
AMCR,$8.89 ,$8.65 ,-2.69%
PGR,$221.16 ,$215.16 ,-2.71%
GNRC,$157.44 ,$152.78 ,-2.96%
ADSK,$284.96 ,$276.02 ,-3.14%
LEN,$123.29 ,$119.25 ,-3.28%
NVR,"$7,845.22 ","$7,581.67 ",-3.36%
CL,$84.35 ,$81.48 ,-3.40%
EG,$345.30 ,$333.18 ,-3.51%
PEG,$81.60 ,$78.68 ,-3.58%
TMUS,$208.09 ,$200.56 ,-3.62%
ETN,$337.09 ,$324.51 ,-3.73%
KKR,$140.14 ,$134.65 ,-3.91%
SBAC,$188.81 ,$181.20 ,-4.03%
TSCO,$53.68 ,$51.51 ,-4.03%
ESS,$262.05 ,$251.02 ,-4.21%
MAA,$142.17 ,$135.90 ,-4.41%
CF,$86.70 ,$82.60 ,-4.73%
APO,$153.21 ,$145.82 ,-4.82%
TAP,$50.57 ,$48.13 ,-4.83%
CPAY,$348.39 ,$331.50 ,-4.85%
NCLH,$25.79 ,$24.53 ,-4.89%
UDR,$38.77 ,$36.82 ,-5.04%
ADP,$280.64 ,$266.02 ,-5.21%
NKE,$69.57 ,$65.92 ,-5.24%
KDP,$29.45 ,$27.79 ,-5.64%
DLR,$168.21 ,$158.55 ,-5.74%
EQR,$64.24 ,$60.44 ,-5.92%
PTC,$182.38 ,$171.52 ,-5.95%
EPAM,$225.62 ,$211.93 ,-6.07%
UPS,$115.34 ,$108.06 ,-6.31%
EFX,$242.39 ,$226.96 ,-6.37%
TRGP,$189.07 ,$176.86 ,-6.46%
PCG,$17.03 ,$15.85 ,-6.95%
COIN,$258.78 ,$240.78 ,-6.96%
AJG,$284.48 ,$264.59 ,-6.99%
NTAP,$113.88 ,$105.39 ,-7.45%
CTRA,$26.82 ,$24.82 ,-7.47%
SMCI,$32.60 ,$30.16 ,-7.48%
COO,$90.31 ,$83.45 ,-7.60%
APD,$285.53 ,$263.72 ,-7.64%
RVTY,$113.56 ,$104.43 ,-8.04%
PG,$154.46 ,$141.87 ,-8.15%
IRM,$97.71 ,$89.19 ,-8.72%
IEX,$202.91 ,$184.71 ,-8.97%
EQIX,$879.62 ,$800.35 ,-9.01%
INVH,$29.14 ,$26.50 ,-9.07%
DOC,$18.38 ,$16.71 ,-9.11%
CMCSA,$31.31 ,$28.37 ,-9.38%
MMC,$205.83 ,$186.01 ,-9.63%
TECH,$72.89 ,$65.70 ,-9.87%
ZBH,$103.52 ,$92.85 ,-10.31%
DDOG,$140.42 ,$125.49 ,-10.63%
BBY,$79.02 ,$70.61 ,-10.64%
BLDR,$139.96 ,$124.66 ,-10.93%
FIS,$75.38 ,$66.84 ,-11.33%
BDX,$228.70 ,$202.75 ,-11.35%
AVB,$203.46 ,$179.37 ,-11.84%
LII,$604.30 ,$530.23 ,-12.26%
ROP,$499.34 ,$434.81 ,-12.92%
KHC,$26.93 ,$23.42 ,-13.04%
IFF,$79.50 ,$69.10 ,-13.08%
FICO,"$1,917.63 ","$1,665.53 ",-13.15%
FANG,$169.92 ,$147.41 ,-13.25%
DXCM,$77.76 ,$67.40 ,-13.32%
SW,$49.75 ,$42.98 ,-13.62%
CARR,$65.66 ,$56.25 ,-14.33%
CHD,$100.15 ,$85.78 ,-14.35%
OXY,$50.21 ,$42.86 ,-14.64%
MSI,$450.35 ,$383.14 ,-14.92%
PAYX,$134.83 ,$113.77 ,-15.62%
VRSK,$266.80 ,$224.87 ,-15.72%
XYZ,$82.54 ,$69.55 ,-15.74%
KVUE,$20.02 ,$16.83 ,-15.95%
FTNT,$94.56 ,$79.22 ,-16.22%
CSGP,$69.87 ,$58.49 ,-16.29%
IP,$51.96 ,$43.34 ,-16.59%
WST,$330.64 ,$275.52 ,-16.67%
WDAY,$249.71 ,$207.19 ,-17.03%
STZ,$177.28 ,$147.00 ,-17.08%
EOG,$127.04 ,$104.92 ,-17.41%
CRM,$315.77 ,$259.94 ,-17.68%
ADBE,$405.92 ,$333.95 ,-17.73%
ACN,$342.44 ,$280.67 ,-18.04%
KMB,$119.60 ,$97.92 ,-18.12%
ALGN,$212.12 ,$172.79 ,-18.54%
MRNA,$42.25 ,$34.30 ,-18.82%
HRL,$28.85 ,$23.23 ,-19.48%
TYL,$559.70 ,$448.37 ,-19.89%
GIS,$55.75 ,$44.60 ,-20.00%
BRO,$101.30 ,$80.64 ,-20.39%
ZTS,$161.18 ,$127.17 ,-21.10%
POOL,$321.10 ,$252.28 ,-21.43%
PAYC,$200.56 ,$157.17 ,-21.64%
TGT,$135.59 ,$105.52 ,-22.18%
GPN,$104.45 ,$79.52 ,-23.87%
CNC,$61.83 ,$46.61 ,-24.62%
OKE,$96.61 ,$72.70 ,-24.75%
CDW,$180.42 ,$133.49 ,-26.01%
LYB,$65.97 ,$48.71 ,-26.16%
CPB,$35.93 ,$26.43 ,-26.44%
DOW,$35.83 ,$26.33 ,-26.52%
ERIE,$382.68 ,$280.52 ,-26.70%
BAX,$28.90 ,$21.07 ,-27.09%
DVA,$153.40 ,$111.45 ,-27.35%
TPL,$430.97 ,$311.87 ,-27.64%
CPRT,$55.64 ,$39.83 ,-28.41%
CMG,$56.50 ,$40.11 ,-29.01%
CLX,$151.86 ,$106.19 ,-30.07%
LW,$59.18 ,$41.37 ,-30.09%
CAG,$24.28 ,$16.94 ,-30.22%
SWKS,$86.59 ,$60.17 ,-30.51%
PYPL,$83.17 ,$57.66 ,-30.67%
NOW,$204.91 ,$141.80 ,-30.80%
UNH,$508.01 ,$343.98 ,-32.29%
HPQ,$31.78 ,$21.47 ,-32.45%
ZBRA,$385.54 ,$259.48 ,-32.70%
FDS,$447.82 ,$294.45 ,-34.25%
MOH,$286.08 ,$181.50 ,-36.56%
CHTR,$334.89 ,$210.59 ,-37.12%
ARE,$89.23 ,$53.97 ,-39.52%
GDDY,$192.86 ,$113.54 ,-41.13%
LULU,$395.47 ,$203.90 ,-48.44%
IT,$489.00 ,$248.02 ,-49.28%
DECK,$207.50 ,$103.76 ,-50.00%
FISV,$200.51 ,$69.85 ,-65.16%
TTD,$118.80 ,$37.29 ,-68.61%